Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
assurance-companies,Assurance Companies,assurance-companies,,0,
european-economic-interest-groupings-principal-establishment-in-uk,"European Economic Interest Groupings, Principal establishment in UK",european-economic-interest-groupings-principal-establishment-in-uk,,1,
european-public-limited-liability-companies-societas-europaea,European Public Limited Liability Companies (Societas Europaea),european-public-limited-liability-companies-societas-europaea,,2,
incorporated-by-royal-charter,Incorporated by Royal Charter,incorporated-by-royal-charter,,3,
newspaper-and-libel-act-1881,Newspaper and Libel Act 1881,newspaper-and-libel-act-1881,,4,
special-acts-of-parliament,Special Acts of Parliament,special-acts-of-parliament,,5,
